gpsLedgerId,currentFuelLevel,isIgnitionOn,eventDate,eventGeneratedTime
GPSLDGR-389187,81.32,FALSE,1716316200000,1716316414000
GPSLDGR-389233,81.32,FALSE,1716316200000,1716316670000
GPSLDGR-389274,81.32,FALSE,1716316200000,1716316910000
GPSLDGR-389312,81.32,FALSE,1716316200000,1716317151000
GPSLDGR-389348,81.32,FALSE,1716316200000,1716317391000
GPSLDGR-389393,81.35,FALSE,1716316200000,1716317632000
GPSLDGR-389429,81.32,FALSE,1716316200000,1716317873000
GPSLDGR-389469,81.32,FALSE,1716316200000,1716318113000
GPSLDGR-389513,81.32,FALSE,1716316200000,1716318353000
GPSLDGR-389554,81.32,FALSE,1716316200000,1716318593000
GPSLDGR-389587,81.32,FALSE,1716316200000,1716318834000
GPSLDGR-389632,81.32,FALSE,1716316200000,1716319075000
GPSLDGR-389673,81.32,FALSE,1716316200000,1716319315000
GPSLDGR-389708,81.32,FALSE,1716316200000,1716319555000
GPSLDGR-389751,81.32,FALSE,1716316200000,1716319796000
GPSLDGR-389787,81.32,FALSE,1716316200000,1716320036000
GPSLDGR-389826,81.32,FALSE,1716316200000,1716320277000
GPSLDGR-389871,81.32,FALSE,1716316200000,1716320517000
GPSLDGR-389913,81.32,FALSE,1716316200000,1716320758000
GPSLDGR-389952,81.32,FALSE,1716316200000,1716320998000
GPSLDGR-389992,81.32,FALSE,1716316200000,1716321238000
GPSLDGR-390027,81.32,FALSE,1716316200000,1716321479000
GPSLDGR-390071,81.32,FALSE,1716316200000,1716321720000
GPSLDGR-390107,81.32,FALSE,1716316200000,1716321960000
GPSLDGR-390150,81.32,FALSE,1716316200000,1716322200000
GPSLDGR-390189,81.29,FALSE,1716316200000,1716322441000
GPSLDGR-390231,81.32,FALSE,1716316200000,1716322681000
GPSLDGR-390266,81.32,FALSE,1716316200000,1716322921000
GPSLDGR-390309,81.3,FALSE,1716316200000,1716323162000
GPSLDGR-390348,81.32,FALSE,1716316200000,1716323403000
GPSLDGR-390389,81.32,FALSE,1716316200000,1716323643000
GPSLDGR-390426,81.33,FALSE,1716316200000,1716323883000
GPSLDGR-390465,81.32,FALSE,1716316200000,1716324123000
GPSLDGR-390509,81.32,FALSE,1716316200000,1716324365000
GPSLDGR-390549,81.32,FALSE,1716316200000,1716324605000
GPSLDGR-390589,81.32,FALSE,1716316200000,1716324845000
GPSLDGR-390629,81.31,FALSE,1716316200000,1716325086000
GPSLDGR-390671,81.32,FALSE,1716316200000,1716325326000
GPSLDGR-390704,81.32,FALSE,1716316200000,1716325566000
GPSLDGR-390745,81.32,FALSE,1716316200000,1716325807000
GPSLDGR-390789,81.32,FALSE,1716316200000,1716326048000
GPSLDGR-390829,81.32,FALSE,1716316200000,1716326288000
GPSLDGR-390863,81.32,FALSE,1716316200000,1716326528000
GPSLDGR-390908,81.32,FALSE,1716316200000,1716326768000
GPSLDGR-390944,81.32,FALSE,1716316200000,1716327009000
GPSLDGR-390989,81.32,FALSE,1716316200000,1716327250000
GPSLDGR-391033,81.32,FALSE,1716316200000,1716327490000
GPSLDGR-391062,81.32,FALSE,1716316200000,1716327693000
GPSLDGR-391101,81.32,FALSE,1716316200000,1716327935000
GPSLDGR-391139,81.32,FALSE,1716316200000,1716328175000
GPSLDGR-391184,81.32,FALSE,1716316200000,1716328415000
GPSLDGR-391222,81.32,FALSE,1716316200000,1716328655000
GPSLDGR-391263,81.32,FALSE,1716316200000,1716328896000
GPSLDGR-391298,81.32,FALSE,1716316200000,1716329136000
GPSLDGR-391341,81.32,FALSE,1716316200000,1716329377000
GPSLDGR-391378,81.32,FALSE,1716316200000,1716329618000
GPSLDGR-391422,81.32,FALSE,1716316200000,1716329858000
GPSLDGR-391457,81.32,FALSE,1716316200000,1716330098000
GPSLDGR-391500,81.32,FALSE,1716316200000,1716330338000
GPSLDGR-391533,81.32,FALSE,1716316200000,1716330579000
GPSLDGR-391581,81.32,FALSE,1716316200000,1716330820000
GPSLDGR-391619,81.32,FALSE,1716316200000,1716331060000
GPSLDGR-391663,81.32,FALSE,1716316200000,1716331300000
GPSLDGR-391701,81.32,FALSE,1716316200000,1716331541000
GPSLDGR-391741,81.32,FALSE,1716316200000,1716331781000
GPSLDGR-391781,81.32,FALSE,1716316200000,1716332021000
GPSLDGR-391820,81.32,FALSE,1716316200000,1716332262000
GPSLDGR-391861,81.32,FALSE,1716316200000,1716332503000
GPSLDGR-391901,81.32,FALSE,1716316200000,1716332743000
GPSLDGR-391938,81.32,FALSE,1716316200000,1716332983000
GPSLDGR-391976,81.32,FALSE,1716316200000,1716333224000
GPSLDGR-392017,81.32,FALSE,1716316200000,1716333464000
GPSLDGR-392059,81.32,FALSE,1716316200000,1716333705000
GPSLDGR-392099,81.32,FALSE,1716316200000,1716333945000
GPSLDGR-392140,81.32,FALSE,1716316200000,1716334186000
GPSLDGR-392181,81.32,FALSE,1716316200000,1716334426000
GPSLDGR-392216,81.32,FALSE,1716316200000,1716334666000
GPSLDGR-392259,81.32,FALSE,1716316200000,1716334907000
GPSLDGR-392300,81.32,FALSE,1716316200000,1716335148000
GPSLDGR-392340,81.32,FALSE,1716316200000,1716335388000
GPSLDGR-392380,81.29,FALSE,1716316200000,1716335628000
GPSLDGR-392418,81.32,FALSE,1716316200000,1716335869000
GPSLDGR-392456,81.32,FALSE,1716316200000,1716336110000
GPSLDGR-392494,81.32,FALSE,1716316200000,1716336350000
GPSLDGR-392539,81.32,FALSE,1716316200000,1716336590000
GPSLDGR-392575,81.32,FALSE,1716316200000,1716336831000
GPSLDGR-392618,81.32,FALSE,1716316200000,1716337071000
GPSLDGR-392657,81.32,FALSE,1716316200000,1716337312000
GPSLDGR-392695,81.32,FALSE,1716316200000,1716337552000
GPSLDGR-392740,81.32,FALSE,1716316200000,1716337793000
GPSLDGR-392782,81.32,FALSE,1716316200000,1716338033000
GPSLDGR-392820,81.32,FALSE,1716316200000,1716338273000
GPSLDGR-392858,81.32,FALSE,1716316200000,1716338538000
GPSLDGR-392902,81.32,FALSE,1716316200000,1716338778000
GPSLDGR-392937,81.32,FALSE,1716316200000,1716339019000
GPSLDGR-392979,81.32,FALSE,1716316200000,1716339260000
GPSLDGR-393021,81.32,FALSE,1716316200000,1716339500000
GPSLDGR-393064,81.32,FALSE,1716316200000,1716339740000
GPSLDGR-393101,81.32,FALSE,1716316200000,1716339981000
GPSLDGR-393143,81.32,FALSE,1716316200000,1716340221000
GPSLDGR-393179,81.32,FALSE,1716316200000,1716340461000
GPSLDGR-393218,81.32,FALSE,1716316200000,1716340702000
GPSLDGR-393263,81.32,FALSE,1716316200000,1716340943000
GPSLDGR-393299,81.32,FALSE,1716316200000,1716341183000
GPSLDGR-393337,81.32,FALSE,1716316200000,1716341423000
GPSLDGR-393381,81.32,FALSE,1716316200000,1716341663000
GPSLDGR-393423,81.32,FALSE,1716316200000,1716341905000
